State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,587000,32,602407,20,1189407,52
Arunanchal Pradesh,12240,0,11648,2,23888,2
Assam,91226,167,74121,72,165347,239
Bihar,167783,8,142072,11,309855,19
Chhattisgarh,94950,14,85637,13,180587,27
Goa,11214,8,9492,3,20706,11
Gujarat,319823,0,299351,0,619174,0
Haryana,122654,13,114098,7,236752,20
Himachal Pradesh,149684,17,164779,9,314463,26
Jammu,167629,4,152772,1,320401,5
Kashmir,99218,0,92757,0,191975,0
Jharkhand,51895,0,43223,0,95118,0
Karnataka,465206,9,452282,6,917488,15
Kerala,220461,4,232492,2,452953,6
Madhya Pradesh,395770,56,323653,46,719423,102
Maharashtra,375758,6,330423,17,706181,23
Manipur,15672,11,16413,7,32085,18
Meghalaya,60189,3,74868,3,135057,6
Mizoram,8201,6,8109,5,16310,11
Nagaland,7960,1,8167,2,16127,3
Odisha,400957,64,327286,46,728243,110
Punjab,106133,20,97377,15,203510,35
Rajasthan,546515,1,424598,0,971113,1
Sikkim,20689,0,21127,0,41816,0
Tamil Nadu,208314,1,207531,1,415845,2
Telangana,237545,0,249554,1,487099,1
Tripura,40758,6,38674,2,79432,8
Uttarakhand,48880,3,49901,1,98781,4
Uttar Pradesh,705076,151,552126,158,1257202,309
West Bengal,1084920,66,1030851,63,2115771,129
Andaman & Nicobar Island,8666,0,7085,0,15751,0
Chandigarh,29005,23,22448,19,51453,42
Dadara & Nagar Havelli,21595,5,20636,7,42231,12
Daman & Diu,8073,0,7218,0,15291,0
NCT of Delhi,72613,62,55972,55,128585,117
Lakshadweep,3480,0,3488,0,6968,0
Puducherry,47930,4,46430,3,94360,7
