State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,1555458,208,1547563,130,3103021,338
Arunanchal Pradesh,18569,1,17681,2,36250,3
Assam,12507,149,10327,76,22834,225
Bihar,518052,19,470441,17,988493,36
Chhattisgarh,258205,8,233029,5,491234,13
Goa,40378,22,38476,8,78854,30
Gujarat,1011360,0,953407,0,1964767,0
Haryana,512584,19,512962,8,1025546,27
Himachal Pradesh,743585,125,807628,57,1551213,182
Jammu,157558,1,143070,3,300628,4
Kashmir,360613,0,326665,0,687278,0
Jharkhand,181142,0,157012,0,338154,0
Karnataka,1138647,52,1106474,21,2245121,73
Kerala,2846072,7,3041295,6,5887367,13
Madhya Pradesh,921258,70,814207,39,1735465,109
Maharashtra,987906,2,859394,2,1847300,4
Manipur,25626,14,25579,9,51205,23
Meghalaya,160152,2,215575,6,375727,8
Mizoram,14810,22,16139,14,30949,36
Nagaland,16561,12,16632,11,33193,23
Odisha,1309831,72,1034837,39,2344668,111
Punjab,331095,16,317928,8,649023,24
Rajasthan,2510045,7,1969393,12,4479438,19
Sikkim,47987,3,51323,5,99310,8
Tamil Nadu,1119685,22,1099976,16,2219661,38
Telangana,382278,22,387092,4,769370,26
Tripura,92042,13,89890,8,181932,21
Uttarakhand,113008,45,115389,26,228397,71
Uttar Pradesh,1591167,531,1242004,366,2833171,897
West Bengal,2100245,233,1841395,218,3941640,451
Andaman & Nicobar Island,21014,2,18539,0,39553,2
Chandigarh,84138,20,68316,17,152454,37
Dadara & Nagar Havelli,41377,9,32034,7,73411,16
Daman & Diu,45009,0,36226,0,81235,0
NCT of Delhi,140179,217,121784,140,261963,357
Lakshadweep,23521,0,20387,0,43908,0
Puducherry,509919,16,495981,13,1005900,29
