State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,1577483,380,1572414,207,3149897,587
Arunanchal Pradesh,17723,0,15945,0,33668,0
Assam,13634,182,10466,79,24100,261
Bihar,479878,0,496303,2,976181,2
Chhattisgarh,234641,12,224187,3,458828,15
Goa,44701,43,43863,10,88564,53
Gujarat,1135901,3,1074755,0,2210656,3
Haryana,535459,28,523757,10,1059216,38
Himachal Pradesh,752328,97,842624,48,1594952,145
Jammu,140821,0,130026,0,270847,0
Kashmir,333415,0,303495,0,636910,0
Jharkhand,143865,9,117562,1,261427,10
Karnataka,1226672,67,1196606,42,2423278,109
Kerala,2859654,27,2998166,8,5857820,35
Madhya Pradesh,610959,61,554542,26,1165501,87
Maharashtra,957904,6,778676,4,1736580,10
Manipur,26818,18,27290,10,54108,28
Meghalaya,152917,6,199526,0,352443,6
Mizoram,17105,32,18726,13,35831,45
Nagaland,17615,3,18417,3,36032,6
Odisha,987507,37,805309,21,1792816,58
Punjab,280089,19,284400,5,564489,24
Rajasthan,2680102,12,2077647,13,4757749,25
Sikkim,46952,6,49306,12,96258,18
Tamil Nadu,1034667,36,1007699,29,2042366,65
Telangana,360895,0,379114,0,740009,0
Tripura,116230,10,119695,8,235925,18
Uttarakhand,94578,56,96127,30,190705,86
Uttar Pradesh,1680122,454,1304146,245,2984268,699
West Bengal,2279282,405,2097811,327,4377093,732
Andaman & Nicobar Island,19113,4,17592,3,36705,7
Chandigarh,85105,25,71727,10,156832,35
Dadara & Nagar Havelli,41529,5,32956,3,74485,8
Daman & Diu,44561,0,34356,0,78917,0
NCT of Delhi,218210,296,203257,196,421467,492
Lakshadweep,17920,0,15454,0,33374,0
Puducherry,505022,19,480941,14,985963,33
