State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,360,24,278,20,638,44
Arunanchal Pradesh,1,0,1,0,2,0
Assam,3433,35,2092,7,5525,42
Bihar,234,14,137,3,371,17
Chhattisgarh,18,0,12,2,30,2
Goa,28,5,15,1,43,6
Gujarat,3,0,4,0,7,0
Haryana,35,3,13,0,48,3
Himachal Pradesh,10,1,19,0,29,1
Jammu,0,0,0,0,0,0
Kashmir,57,0,48,0,105,0
Jharkhand,227,0,199,0,426,0
Karnataka,71,5,40,3,111,8
Kerala,1,0,0,0,1,0
Madhya Pradesh,444,17,247,8,691,25
Maharashtra,87,1,55,0,142,1
Manipur,34,0,18,0,52,0
Meghalaya,44,8,28,4,72,12
Mizoram,8,3,4,2,12,5
Nagaland,179,3,115,2,294,5
Odisha,245,56,139,26,384,82
Punjab,0,0,0,0,0,0
Rajasthan,18,0,24,0,42,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,50,3,26,2,76,5
Telangana,34,0,30,0,64,0
Tripura,12,3,3,1,15,4
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,1553,131,1306,115,2859,246
West Bengal,103,11,49,8,152,19
Andaman & Nicobar Island,4,0,4,0,8,0
Chandigarh,86,21,87,12,173,33
Dadara & Nagar Havelli,3,3,1,1,4,4
Daman & Diu,0,0,1,0,1,0
NCT of Delhi,253,32,159,34,412,66
Lakshadweep,0,0,0,0,0,0
Puducherry,51,6,36,7,87,13
