State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,324,40,228,27,552,67
Arunanchal Pradesh,0,0,0,0,0,0
Assam,0,0,0,0,0,0
Bihar,213,0,165,0,378,0
Chhattisgarh,0,0,0,0,0,0
Goa,2,0,2,0,4,0
Gujarat,3,0,2,0,5,0
Haryana,16,0,7,1,23,1
Himachal Pradesh,0,0,0,0,0,0
Jammu,4,1,7,1,11,2
Kashmir,33,0,32,0,65,0
Jharkhand,8,0,0,0,8,0
Karnataka,157,0,119,1,276,1
Kerala,3,1,6,0,9,1
Madhya Pradesh,97,3,91,0,188,3
Maharashtra,88,0,67,0,155,0
Manipur,0,0,0,0,0,0
Meghalaya,7,2,7,1,14,3
Mizoram,1,0,0,0,1,0
Nagaland,0,0,6,0,6,0
Odisha,207,8,107,0,314,8
Punjab,0,0,0,0,0,0
Rajasthan,110,2,100,4,210,6
Sikkim,0,0,0,0,0,0
Tamil Nadu,15,2,6,1,21,3
Telangana,45,0,22,0,67,0
Tripura,0,0,0,0,0,0
Uttarakhand,6,0,18,1,24,1
Uttar Pradesh,67,3,51,3,118,6
West Bengal,529,78,374,38,903,116
Andaman & Nicobar Island,9,0,8,2,17,2
Chandigarh,39,0,25,0,64,0
Dadara & Nagar Havelli,2,2,2,2,4,4
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,27,5,34,0,61,5
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
