State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,20203,224,17546,141,37749,365
Arunanchal Pradesh,403,0,304,0,707,0
Assam,10117,92,6458,43,16575,135
Bihar,11653,16,8429,9,20082,25
Chhattisgarh,3506,26,2978,21,6484,47
Goa,1511,50,1287,24,2798,74
Gujarat,2847,2,2312,1,5159,3
Haryana,7843,23,6200,11,14043,34
Himachal Pradesh,6535,62,6250,45,12785,107
Jammu,4432,3,4046,6,8478,9
Kashmir,2530,0,2310,0,4840,0
Jharkhand,1540,2,1219,2,2759,4
Karnataka,11539,88,9372,54,20911,142
Kerala,3323,24,3084,20,6407,44
Madhya Pradesh,31077,64,22902,40,53979,104
Maharashtra,5513,15,4829,12,10342,27
Manipur,608,0,478,0,1086,0
Meghalaya,1914,23,1874,16,3788,39
Mizoram,1392,23,1182,9,2574,32
Nagaland,763,0,685,1,1448,1
Odisha,10251,171,7683,108,17934,279
Punjab,4988,15,4104,7,9092,22
Rajasthan,88007,59,63367,39,151374,98
Sikkim,160,0,127,0,287,0
Tamil Nadu,6321,489,5541,268,11862,757
Telangana,3343,2,3222,0,6565,2
Tripura,721,10,596,7,1317,17
Uttarakhand,6406,0,5959,0,12365,0
Uttar Pradesh,89799,71,68457,55,158256,126
West Bengal,139080,405,127465,255,266545,660
Andaman & Nicobar Island,81,21,60,2,141,23
Chandigarh,12704,132,9792,83,22496,215
Dadara & Nagar Havelli,73,10,65,13,138,23
Daman & Diu,54,1,37,1,91,2
NCT of Delhi,19794,424,16065,299,35859,723
Lakshadweep,24,0,32,0,56,0
Puducherry,631,47,482,27,1113,74
