State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,81744,11,82185,6,163929,17
Arunanchal Pradesh,1805,0,1748,0,3553,0
Assam,9716,82,5421,40,15137,122
Bihar,88936,1,82345,1,171281,2
Chhattisgarh,37786,1,33535,2,71321,3
Goa,180,0,166,0,346,0
Gujarat,20910,0,20884,0,41794,0
Haryana,25464,3,23117,1,48581,4
Himachal Pradesh,18636,9,21056,3,39692,12
Jammu,16945,0,15786,0,32731,0
Kashmir,6936,0,6178,0,13114,0
Jharkhand,22088,0,19597,0,41685,0
Karnataka,72699,4,65274,0,137973,4
Kerala,1333,0,1228,0,2561,0
Madhya Pradesh,59670,4,49089,5,108759,9
Maharashtra,52071,0,43743,0,95814,0
Manipur,2125,0,2059,0,4184,0
Meghalaya,3658,0,4235,0,7893,0
Mizoram,1146,1,1391,0,2537,1
Nagaland,4753,4,4730,2,9483,6
Odisha,33738,9,25197,6,58935,15
Punjab,22890,0,22104,1,44994,1
Rajasthan,43905,0,35112,0,79017,0
Sikkim,52,0,52,0,104,0
Tamil Nadu,25837,8,23969,6,49806,14
Telangana,27582,0,27113,0,54695,0
Tripura,1506,2,1330,2,2836,4
Uttarakhand,16504,5,15863,2,32367,7
Uttar Pradesh,364952,136,285240,112,650192,248
West Bengal,124323,6,114246,2,238569,8
Andaman & Nicobar Island,371,0,293,0,664,0
Chandigarh,5970,1,5561,0,11531,1
Dadara & Nagar Havelli,3856,1,3964,0,7820,1
Daman & Diu,268,0,212,0,480,0
NCT of Delhi,10068,16,8300,1,18368,17
Lakshadweep,49,0,62,0,111,0
Puducherry,874,0,722,0,1596,0
