State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,75790,4,72700,3,148490,7
Arunanchal Pradesh,1291,0,1167,0,2458,0
Assam,10663,48,5810,35,16473,83
Bihar,69642,1,59980,0,129622,1
Chhattisgarh,31970,3,28194,1,60164,4
Goa,286,0,244,0,530,0
Gujarat,28024,1,28366,0,56390,1
Haryana,29213,4,26485,3,55698,7
Himachal Pradesh,11894,2,13927,3,25821,5
Jammu,14139,0,13216,0,27355,0
Kashmir,7000,0,5645,0,12645,0
Jharkhand,19478,0,16794,0,36272,0
Karnataka,66809,0,60341,0,127150,0
Kerala,1182,0,1052,0,2234,0
Madhya Pradesh,39991,1,32814,2,72805,3
Maharashtra,58786,4,55773,5,114559,9
Manipur,1781,0,1702,0,3483,0
Meghalaya,3335,0,4131,0,7466,0
Mizoram,1526,0,1861,0,3387,0
Nagaland,4579,0,4510,0,9089,0
Odisha,30378,3,22387,4,52765,7
Punjab,27906,1,27333,1,55239,2
Rajasthan,48444,0,39307,0,87751,0
Sikkim,55,0,103,0,158,0
Tamil Nadu,23246,1,21070,0,44316,1
Telangana,25813,0,25332,0,51145,0
Tripura,1845,2,1819,0,3664,2
Uttarakhand,17602,2,16083,2,33685,4
Uttar Pradesh,428164,126,336108,98,764272,224
West Bengal,131377,15,119919,2,251296,17
Andaman & Nicobar Island,343,0,297,0,640,0
Chandigarh,6505,0,6653,0,13158,0
Dadara & Nagar Havelli,4867,0,4379,0,9246,0
Daman & Diu,326,0,289,0,615,0
NCT of Delhi,14332,12,12800,8,27132,20
Lakshadweep,38,0,19,0,57,0
Puducherry,690,0,617,2,1307,2
