State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,5132,92,3685,49,8817,141
Arunanchal Pradesh,41,0,29,0,70,0
Assam,3260,3,1670,0,4930,3
Bihar,1632,1,3353,0,4985,1
Chhattisgarh,352,7,251,0,603,7
Goa,176,1,37,0,213,1
Gujarat,4071,0,3254,0,7325,0
Haryana,5183,9,4287,5,9470,14
Himachal Pradesh,565,2,473,2,1038,4
Jammu,924,0,816,0,1740,0
Kashmir,1320,0,1135,0,2455,0
Jharkhand,108,0,82,1,190,1
Karnataka,2829,7,2188,1,5017,8
Kerala,3414,7,2169,0,5583,7
Madhya Pradesh,4578,2,2817,1,7395,3
Maharashtra,5390,1,3640,1,9030,2
Manipur,147,0,151,0,298,0
Meghalaya,277,4,217,0,494,4
Mizoram,182,2,117,0,299,2
Nagaland,185,0,138,0,323,0
Odisha,1131,11,678,2,1809,13
Punjab,10887,18,6022,7,16909,25
Rajasthan,848,0,615,0,1463,0
Sikkim,104,0,101,0,205,0
Tamil Nadu,861,0,528,0,1389,0
Telangana,12,0,12,0,24,0
Tripura,46,0,32,0,78,0
Uttarakhand,4706,15,4068,8,8774,23
Uttar Pradesh,14793,24,10075,18,24868,42
West Bengal,2284,70,1420,11,3704,81
Andaman & Nicobar Island,56,1,55,0,111,1
Chandigarh,1101,7,434,3,1535,10
Dadara & Nagar Havelli,28,5,19,0,47,5
Daman & Diu,91,0,69,0,160,0
NCT of Delhi,7227,111,5150,69,12377,180
Lakshadweep,4,0,3,0,7,0
Puducherry,151,5,88,1,239,6
