State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,828,17,665,16,1493,33
Arunanchal Pradesh,0,0,0,0,0,0
Assam,505,0,206,0,711,0
Bihar,652,0,400,0,1052,0
Chhattisgarh,32,0,20,0,52,0
Goa,15,1,11,2,26,3
Gujarat,21,0,14,0,35,0
Haryana,95,0,29,0,124,0
Himachal Pradesh,77,2,69,1,146,3
Jammu,1,1,0,0,1,1
Kashmir,180,0,165,0,345,0
Jharkhand,56,0,37,0,93,0
Karnataka,89,2,95,2,184,4
Kerala,5,1,2,0,7,1
Madhya Pradesh,327,1,237,0,564,1
Maharashtra,45,1,46,0,91,1
Manipur,0,0,3,3,3,3
Meghalaya,20,1,21,1,41,2
Mizoram,101,0,94,0,195,0
Nagaland,239,5,161,8,400,13
Odisha,87,10,48,3,135,13
Punjab,0,0,0,0,0,0
Rajasthan,63,0,35,0,98,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,82,3,66,1,148,4
Telangana,211,0,216,0,427,0
Tripura,1,0,2,0,3,0
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,100,1,75,1,175,2
West Bengal,335,7,318,4,653,11
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,98,6,45,4,143,10
Dadara & Nagar Havelli,5,2,6,5,11,7
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,230,12,175,7,405,19
Lakshadweep,0,0,0,0,0,0
Puducherry,2,0,3,0,5,0
