State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,13648,56,7305,29,20953,85
Arunanchal Pradesh,24,0,13,0,37,0
Assam,564,0,246,0,810,0
Bihar,1557,5,1291,9,2848,14
Chhattisgarh,2346,28,1763,24,4109,52
Goa,847,3,342,5,1189,8
Gujarat,3533,21,2676,28,6209,49
Haryana,719,6,225,0,944,6
Himachal Pradesh,734,5,731,4,1465,9
Jammu,810,1,604,0,1414,1
Kashmir,7,0,1,0,8,0
Jharkhand,459,2,329,0,788,2
Karnataka,5068,12,3016,16,8084,28
Kerala,2220,5,1388,8,3608,13
Madhya Pradesh,3120,54,2226,42,5346,96
Maharashtra,9749,18,6959,17,16708,35
Manipur,90,0,60,0,150,0
Meghalaya,183,1,99,1,282,2
Mizoram,177,0,101,0,278,0
Nagaland,91,0,45,0,136,0
Odisha,9273,92,6001,55,15274,147
Punjab,694,2,224,1,918,3
Rajasthan,3961,27,2759,18,6720,45
Sikkim,85,0,45,0,130,0
Tamil Nadu,8100,20,5568,18,13668,38
Telangana,1784,0,1191,2,2975,2
Tripura,459,1,320,0,779,1
Uttarakhand,69,0,59,0,128,0
Uttar Pradesh,4426,75,3022,53,7448,128
West Bengal,17733,128,13339,140,31072,268
Andaman & Nicobar Island,147,1,48,0,195,1
Chandigarh,686,7,608,2,1294,9
Dadara & Nagar Havelli,319,2,307,5,626,7
Daman & Diu,62,0,37,0,99,0
NCT of Delhi,187,2,76,0,263,2
Lakshadweep,0,0,0,0,0,0
Puducherry,1133,6,562,3,1695,9
