State/ UT,Government run,Private run,Total
Andaman & Nicobar Island,0,0,0
Andhra Pradesh,4,13,17
Arunanchal Pradesh,0,0,0
Assam,3,2,5
Bihar,1,0,1
Chandigarh,2,2,4
Chhattisgarh,2,2,4
Dadara & Nagar Havelli,0,0,0
Daman & Diu,0,0,0
NCT of Delhi,3,3,6
Goa,0,1,1
Gujarat,4,28,32
Haryana,2,22,24
Himachal Pradesh,2,0,2
Jammu & Kashmir,0,0,0
Jharkhand,3,3,6
Karnataka,5,34,39
Kerala,5,6,11
Lakshadweep,0,0,0
Madhya Pradesh,1,35,36
Maharashtra,25,141,166
Manipur,1,0,1
Meghalaya,1,0,1
Mizoram,0,0,0
Nagaland,0,0,0
Odisha,3,3,6
Puducherry,2,2,4
Punjab,4,12,16
Rajasthan,4,4,8
Sikkim,0,0,0
Tamil Nadu,19,12,31
Telangana,1,4,5
Tripura,1,0,1
Uttar Pradesh,7,20,27
Uttarakhand,0,1,1
West Bengal,2,12,14
Goa,107,362,469
